"Question","Type1","Answer1","Type2","Answer2"
"1","A","ukochana osoba wysyła do mnie pełny uczuć list/e-mail bez wyraźnego powodu.","E","przytulam ukochaną osobę."
"2","B","mogę spędzić czas sam na sam z ukochaną osobą.","D","wykonuję prace domowe z ukochaną osoba."
"3","C","ukochana osoba daje mi mały prezent jako wyraz miłości lub troski.","B","jestem na długiej wycieczce z ukochaną osobą."
"4","D","ukochana osoba robi coś niespodziewanego dla mnie, żeby mi pomóc przy projekcie.","E","mogę niewinnie dotknąć ukochaną osobę."
"5","E","ukochana osoba obejmuje mnie w obecności innych ludzi.","C","ukochana osoba daje mi prezent - niespodziankę."
"6","B","jestem z ukochaną osobą nawet, gdy naprawdę nie robimy niczego.","E","kiedy trzymam za dłonie, przybijam piątki lub obejmuję ukochaną osobę."
"7","C","otrzymuję prezent od ukochanej osoby.","A","usłyszę od ukochanej osoby, że mnie kocha."
"8","E","siedzę blisko ukochanej osoby.","A","ukochana osoba chwali mnie bez wyraźnego powodu."
"9","B","mam szansę spotkać się z ukochaną osobą.","C","niespodziewanie dostaję drobne upominki od ukochanej osoby."
"10","A","słyszę od ukochanej osoby, że jest ze mnie dumna.","D","ukochana osoba pomaga mi w czynnościach (np. gotowanie, sprzątanie)."
"11","B","robię wspólnie rzeczy z ukochaną osobą.","A","słyszę słowa wsparcia od ukochanej osoby."
"12","D","ukochana osoba robi dla mnie rzeczy, a nie tylko o nich rozmawia.","E","czuję więź z ukochaną osobą dzięki przytulaniu."
"13","A","słyszę pochwały od ukochanej osoby.","C","ukochana osoba daje mi przemyślane prezenty."
"14","B","jestem w stanie być w pobliżu ukochanej osoby.","E","ukochana osoba masuje moje plecy."
"15","A","ukochana osoba cieszy się z moich osiągnięć.","D","ukochana osoba pomaga mi w tym, czego nie lubię robić."
"16","E","jestem w stanie być fizycznie blisko ukochanej osoby.","B","ukochana osoba interesuje się tym, co jest dla mnie ważne."
"17","D","ukochana osoba pomaga mi w realizacji moich projektów.","C","cieszy mnie otwieranie prezentu od ukochanej osoby."
"18","A","słyszę komplementy od ukochanej osoby na temat mojego wyglądu.","B","ukochana osoba ma czas, żeby mnie wysłuchać i naprawdę zrozumieć moje uczucia."
"19","E","mogę mocno przytulić ukochaną osobę, wśród innych ludzi.","D","ukochana osoba proponuje mnie w czymś wyręczyć."
"20","D","ukochana osoba robi coś specjalnie dla mnie, żeby mi pomóc.","C","ukochana osoba wybiera dla mnie prezent z większym rozmysłem."
"21","B","ukochana osoba nie sprawdza swojego telefonu, gdy rozmawiamy ze sobą.","D","ukochana osoba daje z siebie wszystko, żeby przynieść mi ulgę."
"22","C","nie mogę się doczekać na pewną datę, ponieważ prawdopodobnie dostanę prezent od ukochanej osoby.","A","ukochana osoba mówi mi, jak wiele dla niej znaczę."
"23","C","ukochana osoba, która nie widziała mnie od jakiegoś czasu, myśli, żeby mi podarować drobny upominek.","D","ukochana osoba pomaga mi, gdy nie czuję się na siłach, żeby zrobić rzeczy na czas."
"24","B","ukochana osoba nie przerywa mi, gdy rozmawiam.","C","dawanie prezentów jest ważną częścią relacji z ukochaną osobą."
"25","D","ukochana osoba pomaga mi, kiedy wie, że jestem zmęczona(y).","B","wychodzę gdzieś spędzić czas z ukochaną osobą."
"26","E","ukochana osoba dotyka mojej dłoni lub ramienia, by pokazać swoją troskę lub opiekę.","C","ukochana osoba daje mi mały prezent, który odbiera w ciągu jej normalnego dnia."
"27","A","ukochana osoba wspiera mnie słownie.","B","spędzam czas, wykonując coś wspólnie (np. hobby) z ukochaną osobą."
"28","C","ukochana osoba daje mi namacalny dowód swojego uznania.","E","często dotykam ukochanej osoby, by wyrazić swoją przyjaźń."
"29","D","ukochana osoba pomaga mi zwłaszcza, gdy wiem, że jest już zajęta.","A","słyszę słowa ukochanej osoby, że mnie docenia."
"30","E","przytula mnie osoba, która nie widziała mnie przez jakiś czas.","A","słyszę słowa ukochanej osoby, jak wiele dla niej znaczę."
